,interest_rate,grade,debt_to_income
3075,16.99,D,25.22
3076,14.46,C,18.51
3077,18.25,D,12.38
3078,13.56,C,27.8
3079,10.49,B,14.56
3080,17.57,D,31.1
3081,12.99,C,15.35
3082,8.18,B,32.29
3083,15.02,C,6.95
3084,7.26,A,19.25
3085,7.39,A,12.9
3086,13.56,C,25.41
3087,12.69,C,7.4
3088,10.15,B,17.87
3089,9.17,B,23.53
3090,10.99,B,14.26
3091,14.99,C,11.28
3092,6.83,A,25.39
3093,12.13,B,24.03
3094,7.34,A,20.96
3095,16.01,C,37.42
3096,7.62,A,3.19
3097,10.75,B,34.68
3098,19.99,D,27.51
3099,7.89,A,10.5
3100,16.46,C,11.63
3101,9.44,B,23.23
3102,7.89,A,3.33
3103,12.29,C,29.67
3104,7.69,A,16.11
3105,13.33,C,21.23
3106,15.61,C,22.79
3107,11.49,B,6.98
3108,14.98,C,25.47
3109,6.67,A,11.34
3110,21.7,E,18.91
3111,5.32,A,10.12
3112,17.99,D,14.19
3113,17.09,D,25.1
3114,11.53,B,28.3
3115,15.05,C,28.71
3116,11.99,C,22.52
3117,17.27,D,38.02
3118,22.74,E,19.5
3119,7.34,A,33.44
3120,17.51,E,16.32
3121,15.59,D,20.97
3122,17.57,D,10.72
3123,10.91,B,9.01
3124,10.99,B,31.55
3125,13.49,C,9.75
3126,11.49,B,27.47
3127,5.32,A,11.51
3128,9.17,B,24.39
3129,10.71,B,18.59
3130,12.99,C,32.88
3131,22.74,E,20.12
3132,13.33,C,34.79
3133,10.49,B,17.49
3134,12.29,C,19.25
3135,11.98,B,14.88
3136,15.59,C,14.72
3137,9.75,B,24.45
3138,12.74,C,13.69
3139,6.99,A,13.97
3140,11.55,B,78.53
3141,10.49,B,3.09
3142,11.44,B,22.35
3143,9.16,B,20.16
3144,7.35,A,22
3145,23.99,E,17.1
3146,19.82,G,16.2
3147,16.14,C,6.19
3148,10.75,B,21.24
3149,7.97,A,20.02
3150,27.34,G,28.15
3151,15.31,C,21.86
3152,8.9,A,20.5
3153,13.58,C,18.77
3154,28.69,F,27.72
3155,23.4,E,21.25
3156,16.99,D,23.02
3157,13.11,B,25.44
3158,19.99,E,4.39
3159,16.01,C,22.48
3160,9.49,B,19.34
3161,8.59,A,7.53
3162,16.99,D,26.04
3163,13.35,C,24.4
3164,12.29,C,36.08
3165,13.98,C,18.2
3166,8.24,B,6.9
3167,12.62,C,11.71
3168,11.44,B,11.2
3169,13.65,C,10.62
3170,11.49,B,16.58
3171,16.99,D,12.97
3172,13.49,C,12.86
3173,12.29,C,15.47
3174,19.99,E,18.96
3175,11.31,B,15.08
3176,15.99,D,24.27
3177,17.09,D,43.94
3178,7.89,A,32.64
3179,10.99,B,16.61
3180,15.99,D,35.17
3181,20.99,E,14.17
3182,7.89,A,5.58
3183,11.05,B,2.21
3184,6.49,A,16.18
3185,9.44,B,3.73
3186,21.99,F,22.1
3187,7.21,A,8.06
3188,10.99,B,13.68
3189,13.49,C,16.8
3190,27.27,E,10.8
3191,10.64,B,25.61
3192,13.98,C,26.83
3193,22.06,F,8.69
3194,13.33,C,20.28
3195,24.85,E,9.16
3196,12.13,B,28.52
3197,11.55,B,16.97
3198,7.84,A,10.84
3199,13.33,C,15.04
3200,13.56,C,16.3
3201,27.31,G,38.88
3202,14.99,C,16.67
3203,15.02,C,21.4
3204,18.06,D,12.42
3205,17.97,D,32.27
3206,16.91,C,20.26
3207,17.99,D,16.74
3208,20,D,32.52
3209,14.07,C,22.68
3210,7.26,A,15.3
3211,14.31,C,31.33
3212,16.14,C,9.55
3213,7.49,A,14.04
3214,7.69,A,11.94
3215,13.59,C,7.28
3216,13.56,C,24.14
3217,11.99,B,6.7
3218,8.49,B,28.66
3219,10.16,B,12.61
3220,8.39,A,2.57
3221,15.61,C,27.47
3222,16.24,C,1.13
3223,10.08,B,21.36
3224,11.47,B,17.92
3225,8.46,A,16.08
3226,12.62,C,16.18
3227,13.59,C,13.49
3228,14.49,C,27.59
3229,7.12,A,25.12
3230,13.99,C,14.02
3231,7.21,A,25.01
3232,13.35,C,11.32
3233,12.99,C,25.56
3234,16.99,D,10.34
3235,10.99,B,16.68
3236,17.97,D,20.47
3237,15.99,C,9.49
3238,9.92,B,34.98
3239,5.32,A,6.12
3240,10.99,B,15.67
3241,8.99,B,19.55
3242,14.31,C,5.89
3243,15.31,C,12.81
3244,21.85,D,24.91
3245,7.96,A,16.33
3246,15.22,C,21.02
3247,7.21,A,21.42
3248,9.43,B,37.49
3249,19.19,E,22.46
3250,12.79,C,0.72
3251,6.03,A,29.21
3252,5.32,A,8.72
3253,14.49,C,33.05
3254,7.26,A,29.94
3255,14.98,C,6.38
3256,8.46,A,18.31
3257,10.91,B,13.15
3258,7.97,A,38.64
3259,10.99,B,19.55
3260,16.99,D,32.45
3261,13.99,C,13.47
3262,12.12,B,15.96
3263,7.99,A,15.47
3264,15.8,C,25.28
3265,16.29,D,7.33
3266,21.49,D,22.49
3267,7.89,A,10
3268,9.44,B,7.04
3269,10.42,B,10.47
3270,11.55,B,30.21
3271,17.97,D,30.91
3272,7.21,A,15.75
3273,11.14,B,8.16
3274,27.27,E,25.61
3275,8.18,B,11.54
3276,5.32,A,6.29
3277,16.01,C,26.68
3278,11.99,B,8.72
3279,15.99,D,12.57
3280,16.91,C,17.17
3281,7.21,A,15.94
3282,19.99,D,14.71
3283,11.14,B,3.2
3284,25.89,G,7.42
3285,7.89,A,25.47
3286,7.46,A,19.16
3287,12.74,C,14.66
3288,15.31,C,15.45
3289,7.97,A,10.02
3290,10.9,B,22.45
3291,12.12,B,18.71
3292,6.24,A,14.38
3293,19.99,D,3.3
3294,24.85,E,5.77
3295,18.24,D,7.72
3296,6.03,A,16.02
3297,7.99,A,21.71
3298,18.45,D,8.38
3299,7.34,A,24.36
3300,11.99,C,12.89
3301,17.09,D,11.19
3302,8.24,B,29.58
3303,8.59,A,7.29
3304,17.27,C,24.86
3305,10.41,B,9.71
3306,16.99,D,22.96
3307,11.47,B,19.83
3308,9.58,B,19.51
3309,15.05,C,7.08
3310,17.57,D,17.81
3311,14.07,C,16.8
3312,8.18,B,16.52
3313,6.39,A,32.63
3314,18.99,D,14
3315,12.74,C,20.49
3316,7.56,A,16.57
3317,6.03,A,13.36
3318,18.06,D,12.23
3319,7.49,A,11.87
3320,13.33,C,13.08
3321,5.32,A,21.15
3322,16.55,D,18.95
3323,15.61,D,38.34
3324,7.62,A,26.88
3325,7.84,A,11.03
3326,6.67,A,15
3327,10.47,B,12.81
3328,15.31,C,10.66
3329,15.8,C,19.3
3330,12.49,B,6.6
3331,10.42,B,22.63
3332,16.2,C,14.4
3333,28.72,F,62.1
3334,8.9,A,16.83
3335,17.76,D,20.4
3336,7.62,A,5.5
3337,12.59,C,14.78
3338,21.48,E,13.37
3339,9.44,B,11.33
3340,7.21,A,12.87
3341,16.55,D,10.29
3342,6.68,A,30.35
3343,16.99,D,18.4
3344,12.99,C,13.35
3345,11.49,B,25.46
3346,11.55,B,13.93
3347,18.94,D,35.79
3348,18.25,D,37.96
3349,7.46,A,21.07
3350,13.33,C,9.98
3351,13.99,C,19.54
3352,16.77,D,12.89
3353,16.99,D,11.96
3354,8.18,B,19.62
3355,18.99,D,11.65
3356,7.84,A,24.78
3357,5.32,A,14.74
3358,10.91,B,15.89
3359,5.32,A,17.63
3360,12.99,C,33.35
3361,12.99,C,11.74
3362,9.49,B,15.83
3363,16.55,D,4.17
3364,7.84,A,6.09
3365,7.69,A,9.95
3366,11.47,B,17.52
3367,25.34,E,9.08
3368,11.99,B,5.8
3369,13.99,C,27.41
3370,18.99,D,15.43
3371,13.56,C,20.37
3372,11.99,B,10.42
3373,21.97,E,25.89
3374,5.32,A,10.44
3375,12.29,C,21.68
3376,25.8,G,14.76
3377,18.06,D,26.48
3378,17.97,D,6.67
3379,19.99,E,20.02
3380,14.16,C,15.98
3381,6.92,A,24.9
3382,10.99,B,16.57
3383,14.99,C,16.38
3384,13.98,C,18.39
3385,12.29,C,13.19
3386,9.99,B,10.34
3387,9.44,B,18.98
3388,14.08,C,20.62
3389,20.89,D,42.39
3390,5.32,A,22.26
3391,7.46,A,16.05
3392,10.75,B,28.28
3393,13.11,B,18.12
3394,5.31,A,2.72
3395,11.99,B,10.24
3396,15.99,C,28.39
3397,16.01,C,20.76
3398,7.91,A,18.84
3399,18.99,D,12.14
3400,11.49,B,12.57
3401,9.49,B,19.81
3402,17.99,D,18.22
3403,13.59,C,7.32
3404,12.73,B,3.45
3405,5.32,A,23.13
3406,15.31,C,7.74
3407,10.99,B,15.24
3408,30.17,F,0
3409,11.8,B,29.84
3410,12.62,C,8.06
3411,15.1,C,24.67
3412,9.92,B,15.3
3413,17.57,D,28
3414,6.97,A,20
3415,15.02,C,26.91
3416,26.31,E,6.34
3417,20.39,D,36.86
3418,9.99,B,4.26
3419,6.72,A,14.09
3420,10.42,B,25.42
3421,14.46,C,16.92
3422,18.45,D,32.12
3423,11.05,B,15.13
3424,5.32,A,10.04
3425,10.72,B,8.27
3426,12.79,C,18.87
3427,16.29,D,5.43
3428,18.75,D,15.67
3429,11.39,B,5.12
3430,25.82,E,28.25
3431,11.47,B,21.71
3432,14.16,C,15.28
3433,9.17,B,17.47
3434,13.66,C,22.21
3435,10.72,B,14.31
3436,9.17,B,15.12
3437,24.85,E,24.24
3438,9.49,B,23.38
3439,14.65,C,28.7
3440,15.04,C,19.09
3441,17.27,C,20
3442,19.92,D,5.13
3443,16.99,D,9.93
3444,15.61,D,11.64
3445,11.99,C,5.39
3446,12.98,B,19.14
3447,11.99,B,7.41
3448,6.67,A,12.31
3449,8.81,A,15.28
3450,9.17,B,10.55
3451,18.25,D,10.07
3452,11.86,D,13.8
3453,14.99,C,27.03
3454,18.25,D,11.5
3455,6.19,A,31.12
3456,8.24,B,16.67
3457,11.44,B,11.34
3458,10.9,B,14.2
3459,12.74,C,26.07
3460,22.74,E,19.57
3461,5.32,A,16.86
3462,21.7,E,15.25
3463,18.75,D,16.69
3464,19.42,D,21.2
3465,11.99,B,10.98
3466,22.99,F,2.1
3467,12.29,C,28.93
3468,7.02,A,15.02
3469,17.86,D,16.72
3470,9.44,B,12.09
3471,9.44,B,15.78
3472,6.89,A,11.5
3473,12.13,B,20.6
3474,7.62,A,24.8
3475,14.49,C,6.52
3476,18.84,E,25.16
3477,11.05,B,11.75
3478,14.33,C,10.89
3479,22.35,D,11.32
3480,12.74,C,10.34
3481,19.53,D,25.4
3482,11.99,C,4.63
3483,11.49,B,29.12
3484,8.24,B,17.89
3485,11.99,B,10.9
3486,19.99,D,34.13
3487,13.99,C,7.66
3488,13.33,C,15.63
3489,22.39,E,25.4
3490,15.02,C,4.05
3491,15.61,D,12.97
3492,11.44,B,16.19
3493,8.46,A,6.66
3494,20,D,104.24
3495,11.49,B,9.84
3496,10.33,B,28.26
3497,12.79,C,8.13
3498,13.06,C,19.62
3499,26.49,F,13.91
3500,12.62,C,14.24
3501,14.33,C,2.22
3502,6.97,A,6.24
3503,7.9,A,10.86
3504,11.49,B,12.27
3505,13.99,C,22.79
3506,14.08,C,7.75
3507,9.92,B,0
3508,16.2,C,12.26
3509,13.56,C,22.49
3510,13.59,C,15.13
3511,14.46,C,45.94
3512,10.41,B,22.46
3513,11.05,B,25.02
3514,10.99,B,16.88
3515,15.99,C,12.52
3516,15.31,C,13.07
3517,7.89,A,26.4
3518,6.67,A,25.44
3519,9.75,B,24.65
3520,12.59,C,15.82
3521,13.99,C,28.87
3522,9.17,B,25.83
3523,7.35,A,20.71
3524,11.44,B,14.77
3525,13.99,C,20.15
3526,22.74,E,27.87
3527,11.98,B,22.01
3528,15.05,C,7.83
3529,11.98,B,13.63
3530,9.99,B,26.09
3531,18.24,D,25.49
3532,5.32,A,20.67
3533,16.29,C,16.18
3534,14.33,C,19.89
3535,12.74,C,23.42
3536,14.99,C,30.95
3537,12.99,C,29.11
3538,8.19,A,22.24
3539,14.49,C,14.37
3540,14.65,C,19.4
3541,8.18,B,11.91
3542,11.55,B,16.7
3543,13.59,C,15.5
3544,17.27,C,12.8
3545,10.33,B,6.77
3546,8.99,B,12.62
3547,7.97,A,5.71
3548,8.67,B,21.54
3549,19.99,D,20.17
3550,5.31,A,20.01
3551,10.07,B,18.59
3552,13.99,C,21.65
3553,16.91,C,18.77
3554,19.89,E,18.59
3555,26.3,E,32.09
3556,15.05,C,21.23
3557,14.49,C,20.91
3558,17.99,D,7.04
3559,17.14,D,21.21
3560,13.99,C,17.16
3561,7.46,A,17.4
3562,10.99,B,12.05
3563,14.33,C,34.65
3564,11.14,B,14.85
3565,18.49,D,6.35
3566,10.99,B,27.97
3567,20.31,D,25.66
3568,13.98,C,26.84
3569,14.3,C,13.73
3570,12.59,C,21.87
3571,7.35,A,10.55
3572,16.29,C,11.31
3573,11.49,B,18.63
3574,11.55,B,15.24
3575,23.99,E,20.55
3576,8.08,A,10.67
3577,9.99,B,27.09
3578,22.45,F,23.19
3579,11.47,B,24.34
3580,14.99,C,22.71
3581,6.99,A,11.68
3582,18.94,D,38.87
3583,8.81,A,23.42
3584,19.92,D,30.36
3585,19.99,D,27.5
3586,11.99,B,26.47
3587,12.73,B,9.54
3588,23.43,F,28.05
3589,12.62,C,15.96
3590,7.26,A,32
3591,13.65,C,22.22
3592,13.49,C,9.97
3593,6.99,A,11.53
3594,17.47,D,15.33
3595,16.02,C,23.07
3596,11.14,B,26.55
3597,12.12,B,19.14
3598,9.17,B,25.09
3599,20.39,D,13.06
3600,17.57,D,32.46
3601,10.99,B,15.78
3602,11.06,B,26.09
3603,23.43,F,12.19
3604,14.46,C,32.65
3605,15.61,D,20.33
3606,25.8,G,8.27
3607,25.82,E,31.65
3608,11.99,B,24.91
3609,11.55,B,40.64
3610,18.55,E,11.77
3611,25.81,E,15.48
3612,15.31,C,39.94
3613,7.89,A,13.02
3614,10.74,B,7.73
3615,18.25,E,31.28
3616,13.59,C,9.95
3617,7.21,A,4.74
3618,8.9,A,11.88
3619,8.18,B,18.31
3620,10.64,B,15
3621,10.75,B,18.31
3622,7.91,A,9.39
3623,9.75,B,5.09
3624,9.49,B,25.39
3625,18.2,E,15.06
3626,6.07,A,23.22
3627,24.5,F,26.22
3628,12.62,C,32.41
3629,9.99,B,9.46
3630,12.74,C,17.2
3631,6.46,A,15.23
3632,11.47,B,22.66
3633,14.49,C,26.97
3634,11.53,B,18.38
3635,22.45,E,34.37
3636,9.44,B,39.74
3637,17.57,D,26.75
3638,7.84,A,37.5
3639,10.75,B,33.01
3640,8.67,B,14.75
3641,6.62,A,7.53
3642,17.09,D,28.96
3643,11.99,B,19.76
3644,11.39,B,22.5
3645,14.47,C,17.75
3646,12.29,C,13.14
3647,18.94,D,4.67
3648,9.75,B,13.8
3649,14.47,C,21.6
3650,6.97,A,30.05
3651,9.17,B,25.66
3652,25.57,F,26.2
3653,15.61,C,25.82
3654,19.92,D,33.33
3655,12.74,C,4.1
3656,7.59,A,9.97
3657,10.99,B,12.63
3658,10.75,B,31.63
3659,7.62,A,19.95
3660,13.44,C,26.54
3661,10.75,B,24.06
3662,15.02,C,36.78
3663,7.35,A,13.83
3664,12.69,C,15.01
3665,16.55,D,18.16
3666,12.74,C,18.43
3667,15.05,C,12.68
3668,20.2,E,17.19
3669,13.66,C,20.03
3670,7.39,A,14.11
3671,12.74,C,18.62
3672,11.55,B,9.99
3673,11.99,C,17.79
3674,14.46,C,13.64
3675,15.59,C,29.22
3676,10.72,B,12.7
3677,15.02,C,28.77
3678,20.39,D,32.37
3679,12.69,C,28.43
3680,14.98,C,19.31
3681,14.33,C,12.13
3682,8.39,B,10.88
3683,15.49,C,15.48
3684,21.99,F,8.18
3685,18.25,E,20.76
3686,8.24,B,24.08
3687,9.93,B,18.19
3688,12.05,C,10.82
3689,12.69,C,31.01
3690,7.49,A,23
3691,9.17,B,16.06
3692,15.05,C,34.04
3693,16.14,C,19.64
3694,19.99,E,19.4
3695,14.47,C,16.68
3696,17.09,D,10.53
3697,15.61,C,17.6
3698,12.99,C,27.17
3699,15.22,C,13.32
3700,10.56,B,18.46
3701,14.85,C,20.84
3702,10.99,B,19.23
3703,10.42,B,20.15
3704,6.49,A,8.41
3705,13.99,C,14.86
3706,13.99,C,25.02
3707,15.02,C,55.52
3708,9.16,B,29.93
3709,7.96,A,20.07
3710,18.25,E,11.76
3711,17.97,D,28.8
3712,9.93,B,15.9
3713,10.07,B,13.64
3714,21.49,D,23.7
3715,7.84,A,9.82
3716,14.46,C,21.03
3717,19.52,E,24.39
3718,16.99,D,22.41
3719,11.99,C,11.23
3720,15.59,D,10.94
3721,14.49,C,32.47
3722,21.45,D,0.5
3723,16.29,D,15.29
3724,16.02,C,18.6
3725,10.08,B,16.89
3726,18.94,D,6.1
3727,14.46,C,37.14
3728,5.32,A,7.59
3729,6.62,A,16.29
3730,14.99,C,39.79
3731,10.99,B,25.83
3732,11.49,B,4.63
3733,17.99,D,14.72
3734,5.42,A,15.65
3735,19.19,E,25.61
3736,19.42,D,31.76
3737,11.06,B,10.72
3738,15.7,D,21.73
3739,14.65,C,25.92
3740,15.59,C,3.04
3741,5.32,A,0.34
3742,6.99,A,11.71
3743,13.67,C,13.38
3744,12.13,B,16.09
3745,17.47,D,23.21
3746,7.9,A,8.99
3747,9.49,B,14.31
3748,13.67,C,38.65
3749,10.56,B,6.34
3750,12.74,C,33.94
3751,12.99,B,14.1
3752,27.31,G,20.18
3753,11.99,B,3.14
3754,17.97,D,11.62
3755,8.24,B,14.42
3756,7.46,A,13.18
3757,13.67,C,29.13
3758,10.91,B,16.2
3759,19.92,D,36.25
3760,7.89,A,21.55
3761,13.33,C,8.46
3762,8.18,B,14.98
3763,13.53,B,31.49
3764,13.33,C,16.46
3765,20.5,E,34.38
3766,12.69,C,16.99
3767,6.71,A,10.44
3768,13.59,C,7.58
3769,9.44,B,20.76
3770,6.07,A,16.34
3771,16.99,D,11.53
3772,6.72,A,9.65
3773,11.49,B,7.84
3774,9.17,B,27.44
3775,8.46,A,12.28
3776,13.53,B,27.49
3777,12.99,C,34.75
3778,9.99,B,20.96
3779,15.05,C,20.96
3780,7.89,A,8.31
3781,14.47,C,28.44
3782,23.4,E,38.46
3783,8.39,B,18.41
3784,16.02,C,10.71
3785,12.39,C,28.27
3786,8.39,B,13.27
3787,22.39,E,7.65
3788,7.89,A,14.99
3789,18.25,D,19.61
3790,5.32,A,13.91
3791,10.08,B,16.4
3792,14.47,C,30.56
3793,26.06,F,16.53
3794,8.99,B,2.76
3795,6.89,A,22.2
3796,11.39,B,28.28
3797,10.36,B,13.94
3798,20,D,17.73
3799,12.79,C,17.79
3800,6.11,A,17.3
3801,24.49,E,4.47
3802,12.99,C,8.59
3803,14.46,C,24.77
3804,21.18,E,43.82
3805,13.11,B,15.84
3806,17.57,D,20.61
3807,15.31,C,29.33
3808,16.91,C,12.34
3809,7.97,A,30.56
3810,9.44,B,7.16
3811,6.39,A,13.99
3812,6.83,A,16.61
3813,7.46,A,25.72
3814,19.92,D,37.5
3815,13.56,C,33.95
3816,12.12,B,23.66
3817,15.31,C,9.06
3818,11.49,B,22.62
3819,14.09,B,10.56
3820,5.42,A,1.06
3821,12.39,C,6.72
3822,18.25,D,25.59
3823,24.84,E,17.84
3824,7.89,A,8.05
3825,9.44,B,22.28
3826,5.32,A,3.94
3827,13.49,C,20.26
3828,17.86,D,27.55
3829,15.99,C,19.17
3830,9.17,B,15.51
3831,12.62,C,23.05
3832,12.59,C,28.13
3833,15.31,C,22.06
3834,15.05,C,15.59
3835,6.99,A,13.73
3836,15.49,C,22.56
3837,13.59,C,23.47
3838,6.03,A,3.43
3839,10.99,B,25.66
3840,30.75,F,30.59
3841,8.67,B,20.41
3842,28.72,F,43.06
3843,14.33,C,13.12
3844,16.99,D,22.45
3845,16.99,D,19.19
3846,18.55,E,20.12
3847,6.99,A,17.81
3848,10.99,B,17.37
3849,9.92,B,20.63
3850,8.19,A,23.61
3851,12.39,C,21.76
3852,10.9,B,3.31
3853,14.49,C,26.73
3854,11.98,B,22.56
3855,23.88,E,68.48
3856,8.38,B,32.84
3857,10.56,B,30.1
3858,7.62,A,4.23
3859,6.39,A,26.62
3860,26.99,G,6.69
3861,6.11,A,16.13
3862,6.92,A,21.65
3863,10.99,B,20.63
3864,20.89,F,24.9
3865,14.47,C,89.53
3866,20,D,33.16
3867,22.35,D,10.78
3868,14.31,C,23.24
3869,18.25,E,27.39
3870,9.99,B,9.52
3871,9.93,B,30.16
3872,11.53,B,34.56
3873,16.29,C,22.96
3874,30.75,F,33.19
3875,17.57,D,26.02
3876,30.99,G,30.59
3877,8.99,B,20.59
3878,16.55,D,5.97
3879,18.45,D,23.76
3880,6.89,A,12.5
3881,7.99,A,26.07
3882,11.44,B,20.66
3883,13.99,C,32.48
3884,14.99,C,17.44
3885,15.61,C,25.32
3886,11.67,B,20.23
3887,14.31,C,23.12
3888,16.99,D,20.56
3889,12.74,C,19.03
3890,16.99,D,20.33
3891,18.49,D,10.24
3892,28.72,F,22.87
3893,17.09,D,24.24
3894,7.96,A,42.28
3895,18.2,E,32.03
3896,16.55,D,22.22
3897,14.99,C,5.71
3898,10.99,B,17.12
3899,14.99,C,9.89
3900,13.67,C,11.26
3901,10.42,B,19.42
3902,20.99,E,28.66
3903,13.53,B,15
3904,14.08,C,22.3
3905,11.44,B,11.3
3906,19.99,D,10.2
3907,24.84,E,30
3908,7.21,A,2.28
3909,19.92,D,23.09
3910,11.99,B,15.73
3911,9.75,B,21.34
3912,15.31,C,5.13
3913,16.14,C,23.93
3914,7.89,A,20.72
3915,10.47,B,13.02
3916,5.31,A,11.95
3917,18.99,D,25.39
3918,16.55,D,11.21
3919,11.99,C,17.6
3920,8.18,B,18.83
3921,23.13,F,16.2
3922,12.73,B,12.09
3923,17.99,D,13.42
3924,16.29,D,23.86
3925,18.99,D,21.38
3926,18.2,E,36.59
3927,13.67,C,25.55
3928,6.72,A,8.1
3929,5.32,A,13.34
3930,15.05,C,14.93
3931,9.99,B,27.32
3932,12.62,C,15.24
3933,16.29,C,27.04
3934,7.89,A,21.09
3935,11.55,B,28.38
3936,13.49,C,26.85
3937,8.99,B,5.49
3938,12.62,C,29.11
3939,12.73,B,5.02
3940,12.29,C,19.01
3941,19.03,D,13.25
3942,19.42,D,31.71
3943,6.67,A,25.14
3944,11.99,B,8.52
3945,12.79,C,13.59
3946,16.99,D,24.36
3947,10.47,B,26.06
3948,23.99,E,25.29
3949,10.42,B,3.22
3950,18.99,D,5.74
3951,16.55,D,12.8
3952,11.49,B,12.22
3953,17.09,D,20.27
3954,14.33,C,23.47
3955,8.19,A,26.64
3956,5.32,A,6.06
3957,13.59,C,13.52
3958,14.99,C,23.38
3959,13.49,C,27.02
3960,14.08,C,21.55
3961,12.29,C,27.01
3962,16.55,D,21.09
3963,16.14,C,29.76
3964,15.49,C,28.57
3965,11.99,B,54.61
3966,6.68,A,17.13
3967,13.67,C,11.4
3968,8.67,B,10.12
3969,11.49,B,24.08
3970,11.99,C,24.6
3971,7.84,A,6.18
3972,13.05,B,15.88
3973,11.98,B,18.38
3974,18.99,D,21.03
3975,12.62,C,20.81
3976,23.99,F,13.05
3977,10.99,B,34.4
3978,14.31,C,20.54
3979,12.99,C,25.44
3980,7.35,A,5.9
3981,19.52,E,13.86
3982,13.58,C,19.74
3983,11.49,B,17.56
3984,23.99,E,25.05
3985,16.99,D,16.48
3986,14.47,C,26.67
3987,6.19,A,15.25
3988,9.76,B,27.58
3989,11.99,B,7.85
3990,7.89,A,10.47
3991,11.99,B,38.81
3992,16.02,C,37.21
3993,7.35,A,5.08
3994,21.67,E,4.2
3995,22.35,D,14.55
3996,10.91,B,3.19
3997,11.49,B,22.6
3998,10.99,B,35.58
3999,7.07,A,12.84
4000,16.55,D,29.34
4001,6.11,A,3.08
4002,23.33,F,21.04
4003,7.21,A,11.35
4004,14.99,C,12.96
4005,8.9,A,17.74
4006,18.94,D,37.13
4007,18.92,D,24.36
4008,15.49,C,19.62
4009,11.47,B,31.03
4010,12.62,C,19.38
4011,7.89,A,13.41
4012,12.49,B,24.67
4013,11.99,B,9.93
4014,19.52,E,16.15
4015,5.32,A,12.05
4016,21.6,E,20.59
4017,14.16,C,15.98
4018,7.39,A,6.15
4019,9.75,B,23.71
4020,13.59,C,24.56
4021,11.44,B,8.62
4022,15.61,D,10.22
4023,17.86,D,13.1
4024,18.06,D,22.06
4025,7.02,A,30.49
4026,10.91,B,22.04
4027,14.08,C,17.49
4028,13.99,C,20.16
4029,9.43,B,21.87
4030,13.56,C,18.18
4031,21.85,D,33.89
4032,26.31,E,15.57
4033,16.02,C,23.07
4034,7.39,A,29.81
4035,14.98,C,8.55
4036,18.99,D,32.83
4037,5.32,A,14.28
4038,15.31,C,41.63
4039,9.44,B,11.81
4040,6.07,A,13.55
4041,12.74,C,9.79
4042,18.25,D,16.14
4043,11.99,B,9.52
4044,13.98,C,7.62
4045,12.29,C,32.14
4046,13.59,C,18.28
4047,5.32,A,14.13
4048,16.99,D,23.6
4049,21.48,E,17.89
4050,14.09,B,27.44
4051,24.89,G,13.2
4052,11.44,B,25.88
4053,10.47,B,15.02
4054,9.17,B,10.33
4055,6.89,A,16.52
4056,12.29,C,13.1
4057,7.84,A,17.66
4058,6.07,A,9.17
4059,13.56,C,37.36
4060,6.46,A,4.61
4061,7.24,A,7.99
4062,5.42,A,22.31
4063,17.47,D,17.96
4064,13.67,C,7.65
4065,16.99,D,35.15
4066,16.02,C,13.05
4067,8.9,A,24.51
4068,16.99,D,22.57
4069,24.37,E,34.46
4070,13.59,C,10.21
4071,19.52,D,23.97
4072,21,E,24.12
4073,12.99,B,14.57
4074,10.91,B,26.98
4075,9.75,B,20.54
4076,13.99,C,21.2
4077,7.35,A,16.11
4078,13.99,C,28.76
4079,8.19,A,29.48
4080,19.99,D,30.46
4081,6.08,A,29.51
4082,22.47,E,9.04
4083,6.49,A,3.05
4084,19.52,E,21.72
4085,8.6,A,14.35
4086,12.39,C,20.66
4087,9.16,B,10.67
4088,9.49,B,3.19
4089,10.99,B,25.76
4090,7.9,A,8.4
4091,6.08,A,12.31
4092,10.49,B,22.14
4093,18.94,D,26.52
4094,9.49,B,5.55
4095,16.14,C,25.65
4096,13.99,C,19.72
4097,7.99,A,12.87
4098,14.47,C,37.87
4099,7.26,A,13.16
4100,7.9,A,8.39
4101,17.97,D,22.58
4102,19.19,E,18.97
4103,25.34,E,19.03
4104,17.97,D,13.56
4105,17.99,D,5.05
4106,23.4,E,8.4
4107,11.99,B,34.84
4108,13.59,C,34.51
4109,13.49,C,19.47
4110,15.61,C,11.37
4111,14.3,C,16.27
4112,14.47,C,34.1
4113,13.99,C,6.34
4114,14.47,C,7.54
4115,13.49,C,2.05
4116,10.33,B,18.27
4117,7.97,A,13.96
4118,22.35,D,12.83
4119,10.42,B,15.28
4120,14.99,C,13.46
4121,9.75,B,17.14
4122,18.55,D,22.64
4123,13.49,C,31.33
4124,12.62,C,17.61
4125,17.77,D,14.4
4126,11.06,B,8.42
4127,12.99,C,35.87
4128,5.32,A,13.46
4129,14.31,C,23.35
4130,11.99,C,26.5
4131,17.47,D,26.74
4132,9.93,B,11.71
4133,17.09,D,19.51
4134,13.98,C,27.66
4135,6.19,A,34.9
4136,9.99,B,12.57
4137,14.33,C,15.58
4138,19.47,D,17.03
4139,13.59,C,12.55
4140,14.08,C,33.14
4141,13.67,C,33
4142,10.99,B,31.9
4143,6.24,A,22.65
4144,12.39,C,19.46
4145,7.21,A,9.2
4146,12.62,C,14.84
4147,10.75,B,14.65
4148,6.49,A,19.54
4149,24.7,G,14.52
4150,11.44,B,18.64
4151,11.49,B,22.15
4152,18.25,D,17.08
